Date,Ticker,Forecast,Days_Ahead
25/12/2024,ABRA.TA,292.1936964,
26/12/2024,ABRA.TA,286.9493328,
27/12/2024,ABRA.TA,285.8243369,
28/12/2024,ABRA.TA,288.2749624,
29/12/2024,ABRA.TA,282.6973574,
30/12/2024,ABRA.TA,279.5554303,
31/12/2024,ABRA.TA,281.8627769,
01/01/2025,ABRA.TA,275.7053187,
02/01/2025,ABRA.TA,276.589321,
03/01/2025,ABRA.TA,286.3917929,
04/01/2025,ABRA.TA,283.1999473,
05/01/2025,ABRA.TA,288.7943491,
06/01/2025,ABRA.TA,282.7009539,
07/01/2025,ABRA.TA,284.1788132,
08/01/2025,ABRA.TA,278.0960569,
09/01/2025,ABRA.TA,275.0461985,
10/01/2025,ABRA.TA,267.8638537,
11/01/2025,ABRA.TA,265.9831184,
12/01/2025,ABRA.TA,277.335379,
13/01/2025,ABRA.TA,271.8083951,
14/01/2025,ABRA.TA,274.2824213,
15/01/2025,ABRA.TA,272.4028471,
16/01/2025,ABRA.TA,282.9004667,
17/01/2025,ABRA.TA,277.8162651,
18/01/2025,ABRA.TA,278.5685616,
19/01/2025,ABRA.TA,270.0580555,
20/01/2025,ABRA.TA,271.9200966,
21/01/2025,ABRA.TA,271.5670833,
22/01/2025,ABRA.TA,270.9091799,
23/01/2025,ABRA.TA,278.8691426,
25/12/2024,ACCL.TA,131.6107337,
26/12/2024,ACCL.TA,135.9646981,
27/12/2024,ACCL.TA,139.7163438,
28/12/2024,ACCL.TA,143.1631714,
29/12/2024,ACCL.TA,137.4822313,
30/12/2024,ACCL.TA,138.4495935,
31/12/2024,ACCL.TA,143.9802183,
01/01/2025,ACCL.TA,147.3473364,
02/01/2025,ACCL.TA,150.4741123,
03/01/2025,ACCL.TA,148.6654468,
04/01/2025,ACCL.TA,155.077776,
05/01/2025,ACCL.TA,159.1095335,
06/01/2025,ACCL.TA,168.9309945,
07/01/2025,ACCL.TA,175.9261883,
08/01/2025,ACCL.TA,178.4871497,
09/01/2025,ACCL.TA,182.3295157,
10/01/2025,ACCL.TA,185.6617043,
11/01/2025,ACCL.TA,190.1361755,
12/01/2025,ACCL.TA,195.8312312,
13/01/2025,ACCL.TA,193.3355877,
