Date,Ticker,Forecast
25/12/2024,ABRA.TA,288.2340853
26/12/2024,ABRA.TA,278.2020179
27/12/2024,ABRA.TA,268.2410056
28/12/2024,ABRA.TA,257.7429442
29/12/2024,ABRA.TA,252.9322335
30/12/2024,ABRA.TA,254.7526693
31/12/2024,ABRA.TA,251.8646182
01/01/2025,ABRA.TA,250.1559968
02/01/2025,ABRA.TA,247.6237004
03/01/2025,ABRA.TA,248.0156467
04/01/2025,ABRA.TA,236.3933931
05/01/2025,ABRA.TA,239.2235797
06/01/2025,ABRA.TA,246.0399574
07/01/2025,ABRA.TA,235.4071479
08/01/2025,ABRA.TA,238.7292776
09/01/2025,ABRA.TA,241.3907511
10/01/2025,ABRA.TA,233.9203388
11/01/2025,ABRA.TA,240.7545496
12/01/2025,ABRA.TA,245.7604997
13/01/2025,ABRA.TA,240.555612
14/01/2025,ABRA.TA,241.9200953
15/01/2025,ABRA.TA,246.3181262
16/01/2025,ABRA.TA,248.5939335
17/01/2025,ABRA.TA,249.6492601
18/01/2025,ABRA.TA,245.4621461
19/01/2025,ABRA.TA,234.7490393
20/01/2025,ABRA.TA,236.4873986
21/01/2025,ABRA.TA,231.2305908
22/01/2025,ABRA.TA,236.094245
23/01/2025,ABRA.TA,236.305347
25/12/2024,ACCL.TA,134.3061062
26/12/2024,ACCL.TA,139.8565077
27/12/2024,ACCL.TA,144.4266293
28/12/2024,ACCL.TA,148.1161336
29/12/2024,ACCL.TA,163.041148
30/12/2024,ACCL.TA,178.9138248
31/12/2024,ACCL.TA,197.8279867
01/01/2025,ACCL.TA,211.7868423
02/01/2025,ACCL.TA,223.6488606
03/01/2025,ACCL.TA,234.7648842
04/01/2025,ACCL.TA,238.6518298
05/01/2025,ACCL.TA,243.4917163
06/01/2025,ACCL.TA,246.2654919
07/01/2025,ACCL.TA,246.1586585
08/01/2025,ACCL.TA,245.1195909
09/01/2025,ACCL.TA,248.0828824
10/01/2025,ACCL.TA,249.0760161
11/01/2025,ACCL.TA,251.7766366
12/01/2025,ACCL.TA,250.044688
13/01/2025,ACCL.TA,251.0577601
14/01/2025,ACCL.TA,250.751708
15/01/2025,ACCL.TA,252.2573753
16/01/2025,ACCL.TA,251.8008167
17/01/2025,ACCL.TA,252.1373729
18/01/2025,ACCL.TA,246.6240144
19/01/2025,ACCL.TA,245.2046474
20/01/2025,ACCL.TA,247.3201871
21/01/2025,ACCL.TA,244.7446208
22/01/2025,ACCL.TA,246.9892036
23/01/2025,ACCL.TA,245.3685749
25/12/2024,ACKR.TA,580.8958116
26/12/2024,ACKR.TA,553.1036557
27/12/2024,ACKR.TA,553.4588489
28/12/2024,ACKR.TA,540.2979001
29/12/2024,ACKR.TA,535.7586704
30/12/2024,ACKR.TA,538.4884194
31/12/2024,ACKR.TA,550.2166357
01/01/2025,ACKR.TA,541.8537427
02/01/2025,ACKR.TA,543.2423816
03/01/2025,ACKR.TA,540.1038631
04/01/2025,ACKR.TA,546.2591046
05/01/2025,ACKR.TA,556.3776009
06/01/2025,ACKR.TA,556.662167
07/01/2025,ACKR.TA,542.6226343
08/01/2025,ACKR.TA,544.0589716
09/01/2025,ACKR.TA,551.6251624
10/01/2025,ACKR.TA,548.8205788
11/01/2025,ACKR.TA,548.9792615
12/01/2025,ACKR.TA,544.9514021
13/01/2025,ACKR.TA,545.0708443
14/01/2025,ACKR.TA,548.5960518
15/01/2025,ACKR.TA,540.4525198
16/01/2025,ACKR.TA,543.2114838
17/01/2025,ACKR.TA,545.6550376
18/01/2025,ACKR.TA,544.6551918
