Ticker,Day,Forecast
ADGR.TA,Day_29,575.242981
ADGR.TA,Day_30,575.1917725
AFHL.TA,Day_1,10564.06055
AFHL.TA,Day_2,10928.14063
AFHL.TA,Day_3,11052.37988
AFHL.TA,Day_4,11204.71484
AFHL.TA,Day_5,11207.11621
AFHL.TA,Day_6,11411.51758
AFHL.TA,Day_7,11759.5791
AFHL.TA,Day_8,11837.00488
AFHL.TA,Day_9,11779.48242
AFHL.TA,Day_10,11775.08984
AFHL.TA,Day_11,11997.62207
AFHL.TA,Day_12,12104.21191
AFHL.TA,Day_13,12294.93555
AFHL.TA,Day_14,12840.52637
AFHL.TA,Day_15,13336.86328
AFHL.TA,Day_16,13277.8916
AFHL.TA,Day_17,13344.04492
AFHL.TA,Day_18,13292.15918
AFHL.TA,Day_19,13266.38965
AFHL.TA,Day_20,13240.29199
AFHL.TA,Day_21,13853.49805
AFHL.TA,Day_22,13920.95215
AFHL.TA,Day_23,13973.04883
AFHL.TA,Day_24,14576.88867
AFHL.TA,Day_25,14883.375
AFHL.TA,Day_26,15326.97852
AFHL.TA,Day_27,16313.66895
AFHL.TA,Day_28,16572.02539
AFHL.TA,Day_29,16723.75586
AFHL.TA,Day_30,16782.07617
AFPR.TA,Day_1,17183.60742
AFPR.TA,Day_2,17165.36914
AFPR.TA,Day_3,17232.77539
AFPR.TA,Day_4,16938.12695
AFPR.TA,Day_5,16928.05664
AFPR.TA,Day_6,16900.96484
AFPR.TA,Day_7,16942.70703
AFPR.TA,Day_8,16600.96094
AFPR.TA,Day_9,16552.56445
AFPR.TA,Day_10,16836.31836
AFPR.TA,Day_11,16834.60352
AFPR.TA,Day_12,16824.89844
AFPR.TA,Day_13,16935.94727
AFPR.TA,Day_14,16868.12891
AFPR.TA,Day_15,16964.38477
AFPR.TA,Day_16,16958.78711
AFPR.TA,Day_17,16997.62109
AFPR.TA,Day_18,16975.98828
AFPR.TA,Day_19,16991.03125
AFPR.TA,Day_20,17003.3457
AFPR.TA,Day_21,17030.01758
AFPR.TA,Day_22,16988.76367
AFPR.TA,Day_23,16943.71289
AFPR.TA,Day_24,16957.21094
AFPR.TA,Day_25,16982.83984
AFPR.TA,Day_26,16998.57813
AFPR.TA,Day_27,17012.66211
AFPR.TA,Day_28,16995.75195
AFPR.TA,Day_29,16986.16211
AFPR.TA,Day_30,17004.03711
AFRE.TA,Day_1,21769.44141
AFRE.TA,Day_2,21743.72461
AFRE.TA,Day_3,21620.4707
AFRE.TA,Day_4,21856.87695
AFRE.TA,Day_5,21876.4043
AFRE.TA,Day_6,21663.0
AFRE.TA,Day_7,21650.47852
AFRE.TA,Day_8,21780.32617
AFRE.TA,Day_9,21792.64648
AFRE.TA,Day_10,21877.81055
AFRE.TA,Day_11,21728.88086
AFRE.TA,Day_12,21949.45703
AFRE.TA,Day_13,21875.17188
AFRE.TA,Day_14,21832.17188
AFRE.TA,Day_15,21991.58984
AFRE.TA,Day_16,21821.09375
AFRE.TA,Day_17,22035.47266
AFRE.TA,Day_18,21929.08984
AFRE.TA,Day_19,21872.02734
AFRE.TA,Day_20,22015.63867
AFRE.TA,Day_21,21848.64453
AFRE.TA,Day_22,21937.47266
AFRE.TA,Day_23,21882.59766
AFRE.TA,Day_24,21787.79102
AFRE.TA,Day_25,21878.47852
AFRE.TA,Day_26,21812.41602
AFRE.TA,Day_27,21844.01953
AFRE.TA,Day_28,21816.28125
AFRE.TA,Day_29,21891.20703
AFRE.TA,Day_30,21956.93555
AICS-M.TA,Day_1,15.30501842
AICS-M.TA,Day_2,15.14698982
AICS-M.TA,Day_3,15.20441341
AICS-M.TA,Day_4,15.27893448
AICS-M.TA,Day_5,14.97278786
AICS-M.TA,Day_6,14.98114681
AICS-M.TA,Day_7,14.87933922
AICS-M.TA,Day_8,14.93015766
AICS-M.TA,Day_9,15.02947426
AICS-M.TA,Day_10,15.05252171
AICS-M.TA,Day_11,15.54415798
AICS-M.TA,Day_12,15.39500904
AICS-M.TA,Day_13,15.19404411
AICS-M.TA,Day_14,15.31259918
AICS-M.TA,Day_15,15.34511185
AICS-M.TA,Day_16,15.35578346
AICS-M.TA,Day_17,15.3834343
AICS-M.TA,Day_18,15.56457138
AICS-M.TA,Day_19,15.27864552
AICS-M.TA,Day_20,15.00929832
AICS-M.TA,Day_21,3.274295807
AICS-M.TA,Day_22,3.270317316
AICS-M.TA,Day_23,3.283281326
AICS-M.TA,Day_24,3.2746768
AICS-M.TA,Day_25,3.165719271
AICS-M.TA,Day_26,3.168666363
AICS-M.TA,Day_27,3.248577833
AICS-M.TA,Day_28,3.281373501
AICS-M.TA,Day_29,3.288235664
AICS-M.TA,Day_30,3.28663063
AILN.TA,Day_1,1073.808594
AILN.TA,Day_2,1073.808594
AILN.TA,Day_3,1073.808594
AILN.TA,Day_4,1073.808594
AILN.TA,Day_5,1073.808594
AILN.TA,Day_6,1073.808594
AILN.TA,Day_7,1073.808594
AILN.TA,Day_8,1073.808594
AILN.TA,Day_9,1073.808594
AILN.TA,Day_10,1073.808594
AILN.TA,Day_11,1073.808594
AILN.TA,Day_12,1073.808594
AILN.TA,Day_13,1073.808594
AILN.TA,Day_14,1073.808594
AILN.TA,Day_15,1079.139282
AILN.TA,Day_16,1079.139282
AILN.TA,Day_17,1079.139282
AILN.TA,Day_18,1079.139282
AILN.TA,Day_19,1079.139282
AILN.TA,Day_20,1073.808594
AILN.TA,Day_21,1073.808594
AILN.TA,Day_22,1073.808594
AILN.TA,Day_23,1073.808594
AILN.TA,Day_24,1073.808594
AILN.TA,Day_25,1073.808594
AILN.TA,Day_26,1073.808594
AILN.TA,Day_27,1073.808594
AILN.TA,Day_28,1073.808594
AILN.TA,Day_29,1048.838989
AILN.TA,Day_30,1048.838989
ALAR.TA,Day_1,495.7396851
ALAR.TA,Day_2,503.1716003
ALAR.TA,Day_3,505.5792542
ALAR.TA,Day_4,505.9651794
ALAR.TA,Day_5,500.1874695
ALAR.TA,Day_6,505.600647
ALAR.TA,Day_7,508.1786499
ALAR.TA,Day_8,473.1401367
ALAR.TA,Day_9,470.0289307
ALAR.TA,Day_10,504.9931335
ALAR.TA,Day_11,498.1550293
ALAR.TA,Day_12,492.9511414
ALAR.TA,Day_13,468.2510376
ALAR.TA,Day_14,458.2513733
ALAR.TA,Day_15,446.4005432
ALAR.TA,Day_16,448.499176
ALAR.TA,Day_17,450.8692322
ALAR.TA,Day_18,449.1626587
ALAR.TA,Day_19,448.2306519
ALAR.TA,Day_20,439.2787476
ALAR.TA,Day_21,427.8914185
ALAR.TA,Day_22,428.9107361
ALAR.TA,Day_23,426.9583435
ALAR.TA,Day_24,422.7871399
ALAR.TA,Day_25,410.6055298
ALAR.TA,Day_26,409.2523499
ALAR.TA,Day_27,419.6394958
ALAR.TA,Day_28,409.9076538
ALAR.TA,Day_29,396.8809204
ALAR.TA,Day_30,398.5613708
ALBA.TA,Day_1,1645.212524
ALBA.TA,Day_2,1695.240479
ALBA.TA,Day_3,1778.597534
ALBA.TA,Day_4,1807.936035
ALBA.TA,Day_5,2030.655762
ALBA.TA,Day_6,2042.965942
ALBA.TA,Day_7,2040.887329
ALBA.TA,Day_8,2042.65271
ALBA.TA,Day_9,2039.199951
ALBA.TA,Day_10,2031.638306
ALBA.TA,Day_11,2029.122925
ALBA.TA,Day_12,1822.053223
ALBA.TA,Day_13,1819.697876
ALBA.TA,Day_14,1819.911255
ALBA.TA,Day_15,1829.648682
ALBA.TA,Day_16,1772.388062
ALBA.TA,Day_17,1774.358032
ALBA.TA,Day_18,1772.473999
ALBA.TA,Day_19,1770.353638
ALBA.TA,Day_20,1771.781006
ALBA.TA,Day_21,1778.276733
ALBA.TA,Day_22,1778.248535
ALBA.TA,Day_23,1742.628174
ALBA.TA,Day_24,1741.090454
ALBA.TA,Day_25,1741.038452
ALBA.TA,Day_26,1673.355225
ALBA.TA,Day_27,1742.271851
ALBA.TA,Day_28,1780.086426
ALBA.TA,Day_29,1782.453857
ALBA.TA,Day_30,1780.461304
ALHE.TA,Day_1,2942.262207
ALHE.TA,Day_2,2946.101807
ALHE.TA,Day_3,2981.305176
ALHE.TA,Day_4,2977.9021
ALHE.TA,Day_5,2946.440186
ALHE.TA,Day_6,2922.723877
ALHE.TA,Day_7,2907.21582
ALHE.TA,Day_8,2898.282227
ALHE.TA,Day_9,2846.102051
ALHE.TA,Day_10,2855.504395
ALHE.TA,Day_11,2897.675781
ALHE.TA,Day_12,2995.838623
ALHE.TA,Day_13,3053.550293
ALHE.TA,Day_14,3051.813232
ALHE.TA,Day_15,3127.319092
ALHE.TA,Day_16,3119.903076
ALHE.TA,Day_17,3064.181885
ALHE.TA,Day_18,3131.0354
ALHE.TA,Day_19,3128.17334
ALHE.TA,Day_20,3147.452393
ALHE.TA,Day_21,3230.806396
ALHE.TA,Day_22,3156.925537
ALHE.TA,Day_23,3133.47998
ALHE.TA,Day_24,3122.916504
ALHE.TA,Day_25,3040.480225
ALHE.TA,Day_26,3051.022461
ALHE.TA,Day_27,3054.57373
ALHE.TA,Day_28,3137.939453
ALHE.TA,Day_29,3047.844482
ALHE.TA,Day_30,2999.330078
ALLT.TA,Day_1,1534.862671
ALLT.TA,Day_2,1547.16333
ALLT.TA,Day_3,1488.318726
ALLT.TA,Day_4,1340.360107
ALLT.TA,Day_5,1315.36145
ALLT.TA,Day_6,1314.547974
ALLT.TA,Day_7,1338.0896
ALLT.TA,Day_8,1515.403076
ALLT.TA,Day_9,1515.604126
ALLT.TA,Day_10,1574.547974
ALLT.TA,Day_11,1582.292236
ALLT.TA,Day_12,1577.299805
ALLT.TA,Day_13,1574.832153
ALLT.TA,Day_14,1578.112549
ALLT.TA,Day_15,1580.254028
ALLT.TA,Day_16,1577.515991
ALLT.TA,Day_17,1610.795654
ALLT.TA,Day_18,1608.711182
ALLT.TA,Day_19,1610.071533
ALLT.TA,Day_20,1737.700928
ALLT.TA,Day_21,1811.059326
ALLT.TA,Day_22,1804.923218
ALLT.TA,Day_23,1801.699951
ALLT.TA,Day_24,1816.421875
ALLT.TA,Day_25,1829.567749
ALLT.TA,Day_26,1827.398438
ALLT.TA,Day_27,1819.572144
ALLT.TA,Day_28,1814.555542
ALLT.TA,Day_29,1809.031982
ALLT.TA,Day_30,1816.710693
ALMA.TA,Day_1,777.7618408
ALMA.TA,Day_2,771.8566895
ALMA.TA,Day_3,771.925354
ALMA.TA,Day_4,777.1950684
ALMA.TA,Day_5,770.727356
ALMA.TA,Day_6,776.114502
ALMA.TA,Day_7,778.3320313
ALMA.TA,Day_8,771.010498
ALMA.TA,Day_9,771.508667
ALMA.TA,Day_10,781.2119141
ALMA.TA,Day_11,779.1280518
ALMA.TA,Day_12,779.0164185
ALMA.TA,Day_13,778.2366943
ALMA.TA,Day_14,779.5925903
ALMA.TA,Day_15,772.0891113
ALMA.TA,Day_16,781.8942871
ALMA.TA,Day_17,783.1687622
ALMA.TA,Day_18,776.758728
ALMA.TA,Day_19,772.9141235
ALMA.TA,Day_20,781.8431396
ALMA.TA,Day_21,778.0800171
ALMA.TA,Day_22,779.2345581
ALMA.TA,Day_23,780.154541
ALMA.TA,Day_24,773.5088501
ALMA.TA,Day_25,781.0157471
