Company,MSE,MAE,R2,MAPE
BSEN.TA,177093.0281,305.2597335,0.993908287,1.752241702
BULL-M.TA,7.20465971,1.229416235,0.934674929,6.119825702
BVC.TA,3.590588235,1.352941176,0.934415375,1.423801217
BVGG.TA,206.399908,9.835398262,0.914670639,1.452474246
BWAY.TA,793.1559701,15.09306284,0.985508383,1.258168885
CAMT.TA,1126946.644,782.1321849,0.974928718,2.433224899
CANF.TA,0.019900034,0.083413931,0.918338697,2.578588147
CAST.TA,14569.77731,87.26470588,0.993211022,1.574075183
CBI.TA,2.388219559,0.880272077,0.815876166,2.088197702
CDEV.TA,26134.18055,121.1951341,0.91487741,1.150497142
CEL.TA,958.4860008,23.96147888,0.937925935,1.613834507
CFX.TA,48.99411243,4.433647813,0.962760315,1.278675307
CGEN.TA,1742.083782,24.60840336,0.950635383,3.445798762
CILO.TA,44733.33801,101.6571155,0.979639955,4.880315338
CION.TA,3.11E-06,0.000494578,0.873968604,1.53E-05
CISY.TA,1670.179486,24.85945378,0.956542348,1.615610113
CLAB.TA,2235.276444,19.16222222,0.963850478,1.618052521
CLIS.TA,12816.13084,88.56975287,0.91902742,1.479809531
CMCT.TA,1461.190269,13.75306873,0.986837742,2.050089023
CMDR.TA,127675.7587,258.0022459,0.970338029,1.082061785
CMER.TA,2327.530324,33.54518025,0.9782134,2.450148817
CNGL.TA,392.7403581,7.728523084,0.967151222,1.791283559
CNTC.TA,920.2845042,15.13965649,0.825815852,4.391312474
CNTL-M.TA,3.644064481,0.694303292,0.961981896,1.267086534
CNZN.TA,50.54229334,3.111774335,0.916668911,1.712073737
CPIA.TA,3.957862069,1.396551724,0.695980266,2.772493732
CPTP.TA,0.532648954,0.301687063,0.97192956,0.547457936
CRML.TA,1237.860515,26.68145441,0.952022334,1.397260307
CRMT.TA,392.3989851,9.282896651,0.974890942,0.942887355
CRSM.TA,766.699602,21.1995935,0.985026987,1.303096885
CRSR.TA,3735.425333,48.88283825,0.907462738,1.884698275
