Ticker,MSE,MAE,MAPE,R2
PRIM.TA,1798.795814,21.246089,0.031438218,0.884724286
PRMG.TA,13149.41202,73.15883733,0.055348156,0.660691787
PRTC.TA,12996163.42,3417.092499,0.204802398,-0.96498492
PRPD.TA,271.3000793,11.86601693,0.005593856,0.984890893
PTBL.TA,1223348.654,728.8413691,0.030577603,0.897443193
PULS.TA,5695.861272,38.50426761,0.082450443,0.245715301
PPBT.TA,207.1041253,5.698275803,0.639582081,-11.10894286
QLTU.TA,5416161.231,1751.196023,0.099296282,-0.244492452
QNCO.TA,815.808717,17.76919505,0.043164381,0.813306738
QLRD.TA,471.9001539,15.62027995,0.004614524,0.991982644
RLCO.TA,77493.11341,208.0477981,0.054432621,0.838945141
RMN.TA,3255.114438,40.25206006,0.029792433,0.784274978
RMLI.TA,422582.8631,590.6434336,0.026921835,0.84122842
RANI.TA,909.5412103,23.65506498,0.073134385,0.654449271
RPAC.TA,2805.858749,44.38387784,0.017108349,0.862981426
BRIH.TA,7.849718452,2.214850283,0.032314026,0.949351597
RAVD.TA,712.975245,20.89664453,0.027506376,0.663646124
RVL.TA,2336.557822,15.20857478,0.076146573,-3.914050866
RAYG-M.TA,426.7796868,13.55750869,0.329948032,0.524073183
RZR.TA,755.8569564,23.24786247,0.044577225,0.882331858
RIT1.TA,5231.599205,61.51127183,0.03915116,0.870751809
AZRT.TA,3088.782779,37.0456125,0.091798847,0.362376589
REKA.TA,780.78756,23.52216938,0.016269924,0.861165377
RTMD-L.TA,193.4893753,12.1479286,1.08498861,-0.76889225
RTLS.TA,11023.9675,82.584989,0.01199065,0.963973305
RMON.TA,3674.795661,47.2368432,0.012362084,0.984082237
RIMO.TA,70993.57807,233.7975267,0.054081426,0.64431281
ROTS.TA,251158.4806,366.2279688,0.070178308,0.623830253
RSEL.TA,631.6690291,13.71997146,0.018817139,0.863307068
SRAC.TA,43991.35638,143.004907,0.040196067,0.864902689
SANO1.TA,267758.8915,355.256731,0.011348688,0.950779714
SPNS.TA,333824.1416,468.7231163,0.038098781,0.870922594
SRFT.TA,79562.31186,220.8503378,0.057535033,0.405222922
SARN.TA,7.685501586,2.006355921,0.030487405,0.076477996
SVRE.TA,184133.5689,400.3009759,39.1202865,-2647.986104
SVRT.TA,212203.0147,402.3326974,0.972719884,-99.25028989
SHNP.TA,3806.434434,32.95420295,0.024529838,0.796014715
SCDX.TA,10.84171998,2.026306888,0.00621238,0.98730833
SCOP.TA,18007.7446,107.3587858,0.009250204,0.991995308
SEMG.TA,3545.822333,53.97711144,0.251857401,-0.082211503
SLARL.TA,626.0594271,20.33620737,0.026740053,0.943959146
SHGR.TA,121.2394562,7.598440123,0.007606437,0.991276987
SHMM.TA,807.9368494,10.46208673,1.866968952,-0.251236703
SHAN.TA,337.9427445,10.14918934,0.025844154,0.684192721
SPEN.TA,3498.838702,51.16673695,0.023303551,0.964364448
SBEN.TA,24.78020593,4.637204354,0.018650745,0.826978854
SKBN.TA,3122.326953,46.38282814,0.045100501,0.920789149
SHOM.TA,1884.699851,30.7483692,0.047466732,0.773684448
SAE.TA,174129.4328,316.8075022,0.090203796,0.015832711
SKLN.TA,262.4178159,14.06932383,0.007956003,0.992438727
SMAG.TA,83939.24839,185.7924304,0.530708149,-34.49747619
SOFW.TA,1221.613303,21.12894554,0.011856906,0.878553843
SOLR.TA,948.4097984,24.68331065,0.007293571,0.974235473
SCC.TA,175.373388,4.740220614,0.13560278,-10.16545471
SPDV.TA,159.6765159,8.956299931,0.024488214,0.780584841
SPRG.TA,49002.44281,117.6149976,10.72767156,0.311358755
SPNTC.TA,534.8582159,16.38754575,0.038039723,0.501188765
STRG.TA,135.0255053,8.50428474,0.196543969,0.192703121
STRS.TA,95521.18068,247.7589828,0.038488968,0.705551869
STRW.TA,59453.04033,118.9775042,0.031145679,-3.510168437
SFRN.TA,465.72861,18.06705274,0.028881988,0.927401118
SMT.TA,5156.319071,60.85018038,0.011492569,0.97924973
SNFL.TA,94.01773043,7.989929956,0.015092248,0.8510393
SNCM.TA,93.65922061,6.255048578,0.056458581,0.084231663
STEC.TA,14850.88115,64.35683422,3.448851235,0.134147307
SNEL.TA,12773.86415,100.2870872,0.072450696,-3.258383366
TDRN.TA,620871.7208,616.4018514,0.030266765,0.870848547
TMRP.TA,27703.9142,141.0268101,0.065110119,0.38271171
TRA.TA,7.17366289,1.383952559,0.042036152,0.777213183
TATT.TA,2345885.785,1092.218536,0.139707284,-0.319895293
TAYA.TA,10010.12356,83.78325962,0.013817624,0.855180595
TNPV.TA,10815.12888,52.33205834,0.363942975,0.729697047
TECT.TA,172.7185101,9.640621973,0.022051499,0.927753171
TEDE.TA,45887.5139,186.8640972,0.32068237,-1.168126254
TFRLF.TA,13992.88273,100.4868003,0.032990487,0.568334288
TLSY.TA,147912.643,269.8945151,0.015641315,0.771132116
TRLT.TA,11.80163556,2.582898104,0.003941111,0.984283792
TRX.TA,195.6942323,4.236018805,0.011828866,0.950216785
TUZA.TA,0.89574819,0.792982117,0.02031155,0.87183624
TEVA.TA,227042.0909,325.1763623,0.046505212,-0.096536519
TGI.TA,47.57868749,4.75769106,0.026641651,0.28004035
ILCO.TA,971248.7104,697.4436983,0.008189639,0.978459582
TMIS.TA,49911.39554,168.3359587,0.165804126,-1.190506639
THES.TA,6563.260185,79.47273242,0.163720912,-0.747415238
TIGBUR.TA,2.975691879,1.42660555,0.028715318,0.552260499
TIGI.TA,3232.670187,48.87888814,0.06609397,0.141019735
TKUN.TA,21.20950353,3.236550465,0.093246394,-1.680611265
TTAM.TA,818.945496,24.34711097,0.040760692,0.688509553
TGTR.TA,780.5168675,19.6435108,0.044521591,0.717637806
TOEN.TA,7639.568144,71.67597596,0.044056407,-0.273338382
TNDO.TA,212.2924372,10.45575695,0.030608991,0.903580498
TOPS.TA,577.8970002,17.9469544,0.020491984,0.906976293
TSEM.TA,182546.1302,278.1615202,0.016067502,0.890994524
TRAN.TA,423.0900322,15.8417423,0.164953473,-4.216432456
TSG.TA,3.054567671,1.467809041,0.008920141,-4.276614003
TURB.TA,398.6251391,13.81445638,0.018372992,0.975089655
TRPZ.TA,103.5331772,7.777896574,0.004231543,0.99223803
UMH.TA,2541950.65,1027.568058,1.482205552,-2.262038591
UNTC.TA,3793.629109,27.10376666,8.008071871,-0.292912058
UNCT.TA,17869949.45,2559.762121,466.3149214,-810208.5594
UNIT.TA,58752.47344,188.6769707,0.068495867,0.730330441
UPSL.TA,3720.881931,46.57634975,4.697231786,-3.669923765
UTRN.TA,60.58536548,6.690258184,0.017734855,0.779964882
VRDS.TA,432.7580993,16.63781596,0.007407515,0.985144241
VCTR.TA,58927.82533,204.7089844,0.041106952,0.839552419
VILR.TA,99392.25898,251.2094767,0.016227499,0.888406689
VISN.TA,737570.9655,530.9680474,10.42051589,0.728467984
VTNA.TA,14758.50216,103.7272213,0.047190142,0.781954587
WATR.TA,8260.909539,43.79119772,0.818705465,-36.49217459
WESR.TA,159.3166547,8.433530725,0.021703972,0.983035293
WILK.TA,4.361364087,1.72734229,0.037550992,0.859393924
