Ticker,MSE,MAE,MAPE,R2
RTMD-L.TA,484.5170812,20.39595598,1.42140685,-3.438571811
RTLS.TA,111501.0234,270.3186776,0.039170993,0.669891246
RMON.TA,68092.20361,207.9857061,0.051849197,0.720530155
RIMO.TA,53422.4937,202.8113269,0.047759626,0.738787527
ROTS.TA,471923.8905,514.5164448,0.100363742,0.309840206
RSEL.TA,4739.102874,52.52003343,0.073072047,-0.158401736
SRAC.TA,16355.28994,110.1518892,0.036724683,0.946538817
SANO1.TA,846232.2105,657.6066914,0.020305056,0.834829007
SPNS.TA,3232013.964,1634.294779,0.125675572,-0.332005525
SRFT.TA,425281.6655,555.7094111,0.14825962,-2.102002068
SARN.TA,122.5430639,7.73351412,0.121008007,-15.9279425
SVRE.TA,3498.693566,47.29495899,6.698885003,-46.91323032
SVRT.TA,27899.56463,143.6373816,0.349089763,-12.10997978
SHNP.TA,8705.069705,80.87645492,0.060965281,0.507768726
SCDX.TA,467.1172935,15.53463978,0.048990999,0.348796498
SCOP.TA,360338.6992,491.8297764,0.043501806,0.831334907
SEMG.TA,1425.216128,30.98547835,0.152644476,0.56535129
SLARL.TA,1687.728727,30.51308981,0.037817465,0.845568187
SHGR.TA,14602.13675,107.1370373,0.102689537,-0.098619376
SHMM.TA,9486.606156,66.31897422,3.773341504,-14.276267
SHAN.TA,174.9951693,5.686259448,0.015097563,0.838744342
SPEN.TA,4919.085148,55.19159382,0.024268624,0.949343756
SBEN.TA,354.8796543,15.36834174,0.064880869,-0.758562577
SKBN.TA,2941.521466,43.13934674,0.044358511,0.924149053
SHOM.TA,186.4459628,10.95551381,0.019285434,0.976447246
SAE.TA,429992.5609,528.2003799,0.153538857,-1.336668024
SKLN.TA,5814.635801,62.37678639,0.03662758,0.826520502
SMAG.TA,43418.77591,138.9270205,0.405699912,-17.01296454
SOFW.TA,14097.91048,95.56206247,0.054250248,-0.606976868
SOLR.TA,8135.875149,64.17760976,0.019222036,0.764919622
SCC.TA,1470.067607,31.38854368,0.934265666,-90.3433529
SPDV.TA,1299.944086,27.52085894,0.075100754,-0.875330078
SPRG.TA,72054.62878,192.7708624,12.67891008,0.002826785
SPNTC.TA,1545.974401,32.8987263,0.07272175,-0.514462174
STRG.TA,438.3186946,18.03857752,0.350948995,-1.506505763
STRS.TA,892545.4561,764.2237876,0.131621725,-1.85549926
STRW.TA,513298.954,705.7299805,0.191279119,-53.69500562
SFRN.TA,6933.738206,71.24250536,0.126061543,-0.247600067
SMT.TA,37384.47667,159.1386421,0.030066918,0.864698915
SNFL.TA,102.0808495,7.073502207,0.01319401,0.829901956
SNCM.TA,62.8633174,4.661243408,0.040725881,0.355123063
STEC.TA,12235.34283,69.44513599,2.664533767,0.241067392
SNEL.TA,32979.51296,122.3588619,0.089486108,-10.34106655
TDRN.TA,11554634.92,3102.293207,0.15033342,-1.618417205
TMRP.TA,103751.0556,259.0548552,0.120473498,-1.367770769
TRA.TA,211.9544199,11.08083748,0.362887282,-5.924326499
TATT.TA,5318564.159,1984.813433,0.277562784,-2.17757721
TAYA.TA,27529.8949,135.4551297,0.022530857,0.580058119
TNPV.TA,4532.898271,41.02970512,0.524838252,0.883680213
TECT.TA,2223.388064,43.33713687,0.096888939,0.084799529
TEDE.TA,61007.50782,219.0877956,0.36746398,-1.807578287
TFRLF.TA,386602.5455,596.0558338,0.200383302,-10.64320611
TLSY.TA,4337881.197,1792.556585,0.103312767,-5.622892892
TRLT.TA,1703.98981,32.51767834,0.05111054,-0.991529478
TRX.TA,8862.043374,80.12300569,0.196324757,-1.366130399
TUZA.TA,9.930619822,1.734212302,0.046761851,-0.408105476
TEVA.TA,2514148.765,1473.413761,0.223315641,-14.006662
TGI.TA,250.9541836,14.34639473,0.080969125,-2.877279654
ILCO.TA,13515703.07,2808.669842,0.033955921,0.681608938
TMIS.TA,17356.13134,83.63868875,0.078402623,0.214570204
THES.TA,3163.200285,44.538668,0.088171265,0.078447575
TIGI.TA,26869.31357,137.737072,0.182751473,-5.080001207
TKUN.TA,272.5047034,14.29590791,0.415346439,-33.68267701
TTAM.TA,101.2725688,8.113254206,0.013911159,0.964576573
TGTR.TA,6127.036872,47.10170318,0.106845463,-1.134477053
TOEN.TA,5019.372633,57.63509015,0.036378468,0.190266376
TNDO.TA,12751.52752,90.70517654,0.244006452,-4.915745213
TOPS.TA,7535.540651,74.09659682,0.08268714,-0.251761908
TSEM.TA,4693017.798,1791.735812,0.10647276,-1.979951113
TRAN.TA,790.5955032,22.44033872,0.234694605,-9.657616461
TURB.TA,10417.05393,68.60334376,0.094000062,0.314737101
TRPZ.TA,7182.220407,70.22556948,0.038998033,0.45430196
UMH.TA,22737600.25,4600.961084,0.71550705,-29.0071794
UNTC.TA,4697.991665,49.10532547,12.98807828,-0.581986833
UNCT.TA,4852438.223,1641.898862,50.85581454,-221785.3735
UNIT.TA,374975.2334,485.8194585,0.154258841,-0.680074421
UPSL.TA,69254.154,183.0628838,3.174841952,-87.90920214
UTRN.TA,1965.017324,24.55562635,0.064265012,-5.675677296
VRDS.TA,63185.77425,217.8365282,0.095566498,-0.853542409
VCTR.TA,54511.16801,172.622499,0.036637686,0.855239818
VILR.TA,112943.5031,259.9304179,0.01664878,0.886528991
VISN.TA,1555104.975,946.8330359,12.7265162,0.440072666
VTNA.TA,7042.112803,60.93001302,0.028753797,0.897579697
WATR.TA,4740.224989,62.75050872,1.017399388,-19.4639359
WESR.TA,4661.170833,56.48848789,0.150453412,0.487710053
WILK.TA,341.5788482,17.94759845,0.403426944,-10.2649468
WLFD.TA,12753.88861,93.07051496,0.048272327,0.848260832
WNBZ.TA,12.49288442,2.872917927,0.142491182,-1.857339561
YBRD.TA,283956.3095,438.2591011,6.814937021,0.212531216
YAAC.TA,1.631444824,0.937261597,0.024561562,0.535721071
YBOX.TA,10.38695896,2.577470113,0.03152424,0.910379151
YHNF.TA,2832959.747,1404.730707,0.062728621,0.277176897
ZNKL.TA,865342.3108,897.8208881,0.240470118,-9.421348192
ZPRS.TA,14092.39532,94.4036553,0.076226576,0.007982448
ZMH.TA,67173.31271,182.2161816,0.054031958,0.706588015
ZOOZ.TA,19083.64647,112.1915781,0.137938262,0.027310644
ZUR.TA,1866.556776,37.86795143,0.059388553,0.719979208
